School_Code:SC_CAT_NC_BP:Town:SC_CAT_NC_BR:SC_CAT_NC_BS:SC_CAT_NC_BT:SC_CAT_NC_BU:SC_V_NC_BV:SC_V_NC_BX:SC_V_NC_BY:SC_V_NC_BZ:SC_V_NC_CA:SC_V_NC_CB:SC_V_NC_CC:SC_V_NC_CD:SC_V_NC_CE:SC_V_NC_CF:SC_V_NC_CG:SC_V_NC_CH:SC_V_NC_CI:SC_V_NC_CJ:SC_V_NC_CK:SC_P_NC_CL:SC_P_NC_CM:SC_P_NC_CN:SC_P_NC_CO:SC_P_NC_CP:SC_P_C_CQ1:SC_P_C_CQ2:SC_P_C_CQ3:SC_P_C_CQ4:SC_P_C_CQ5:SC_P_C_CQ6:SC_P_C_CQ7:SC_P_NC_CR:SC_V_NC_CS:SC_V_NC_CT:SC_V_NC_CU:SC_V_NC_CV
00010505:Public School:Abington:09,10,11,12:00010000:Level 1:Level 3:0:0:0:0:0:0:0:0:0:124:109:123:92:4:452:5.3:2.4:9.7:28.8:21.5:2.2:1.5:9.1:85.8:0.2:0.2:0.9:45.6:15.8:74662.0:12050.39:13270.84
00010003:Public School:Abington:01,02,03,04:00010000:Level 3:Level 3:0:125:164:148:143:0:0:0:0:0:0:0:0:0:580:10.5:7.2:13.3:37.1:23.3:1.9:1.9:6.7:88.4:0.5:0.2:0.3:50.2:24.6:74662.0:12050.39:13270.84
00010002:Public School:Abington:PK,K:00010000:Insufficient data:Level 3:69:0:0:0:0:0:0:0:0:0:0:0:0:0:203:12.8:3.0:21.2:34.0:16.3:3.9:3.0:8.4:84.7:0.0:0.0:0.0:54.2:14.6:74662.0:12050.39:13270.84
00010405:Public School:Abington:07,08:00010000:Level 2:Level 3:0:0:0:0:0:0:0:159:169:0:0:0:0:0:328:5.5:1.8:13.1:30.8:21.6:2.4:1.8:6.1:89.3:0.0:0.0:0.3:53.4:21.1:74662.0:12050.39:13270.84
00010015:Public School:Abington:05,06:00010000:Level 2:Level 3:0:0:0:0:0:180:173:0:0:0:0:0:0:0:353:5.9:2.0:10.8:30.6:22.7:2.0:1.4:4.2:92.1:0.0:0.0:0.3:50.7:30.4:74662.0:12050.39:13270.84
00030025:Public School:Acushnet:PK,K,01,02,03,04:00030000:Level 2:Level 2:50:99:102:107:96:0:0:0:0:0:0:0:0:0:538:0.6:0.4:14.3:35.5:25.3:0.7:0.2:3.3:92.8:0.2:0.0:2.8:53.2:20.1:64906.0:11189.03:11860.15
00030305:Public School:Acushnet:05,06,07,08:00030000:Level 2:Level 2:0:0:0:0:0:105:121:77:114:0:0:0:0:0:417:1.0:0.5:13.7:29.3:19.7:0.7:0.2:1.0:97.4:0.0:0.0:0.7:50.8:16.9:64906.0:11189.03:11860.15
00050003:Public School:Agawam:PK:00050000:Insufficient data:Level 2:151:0:0:0:0:0:0:0:0:0:0:0:0:0:151:1.3:0.0:41.1:51.7:29.8:4.6:8.6:12.6:71.5:0.0:0.0:2.6:57.6:11.9:64769.0:13546.48:14363.21
00050505:Public School:Agawam:09,10,11,12:00050000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:299:309:293:315:6:1222:4.6:1.3:14.1:32.0:22.7:1.2:2.2:5.8:88.8:0.0:0.1:1.9:52.0:16.8:64769.0:13546.48:14363.21
00050405:Public School:Feeding Hills:07,08:00050000:Level 2:Level 2:0:0:0:0:0:0:0:253:309:0:0:0:0:0:562:6.2:1.1:14.9:34.5:23.3:1.4:1.4:7.1:87.0:0.0:0.0:3.0:47.9:11.8:64769.0:13546.48:14363.21
00050020:Public School:Agawam:K,01,02,03,04:00050000:Level 2:Level 2:0:62:72:86:74:0:0:0:0:0:0:0:0:0:385:15.6:13.2:13.0:41.8:26.8:2.1:2.9:4.9:88.1:0.0:0.0:2.1:52.7:16.8:64769.0:13546.48:14363.21
00050010:Public School:Feeding Hills:K,01,02,03,04:00050000:Level 2:Level 2:0:43:66:64:60:0:0:0:0:0:0:0:0:0:293:8.9:7.2:19.1:45.7:32.8:1.4:1.0:9.6:85.0:0.0:0.3:2.7:50.2:19.8:64769.0:13546.48:14363.21
00050030:Public School:Agawam:K,01,02,03,04:00050000:Level 2:Level 2:0:67:61:74:60:0:0:0:0:0:0:0:0:0:329:13.7:11.9:17.6:45.3:28.9:3.0:3.3:9.4:82.4:0.0:0.0:1.8:53.2:18.2:64769.0:13546.48:14363.21
00050303:Public School:Agawam:05,06,07,08:00050000:Level 2:Level 2:0:0:0:0:0:290:304:3:2:0:0:0:0:0:599:9.8:4.7:15.2:41.1:30.1:2.5:4.2:7.0:83.3:0.0:0.0:3.0:53.4:16.8:64769.0:13546.48:14363.21
00050025:Public School:Agawam:K,01,02,03,04:00050000:Level 2:Level 2:0:79:61:78:81:0:0:0:0:0:0:0:0:0:377:15.4:14.3:13.0:48.0:35.0:2.7:2.9:8.0:83.0:0.0:0.0:3.4:51.7:17.7:64769.0:13546.48:14363.21
00070005:Public School:Amesbury:PK,K,01,02,03,04:00070000:Level 2:Level 2:26:72:85:77:72:0:0:0:0:0:0:0:0:0:388:0.0:0.0:20.4:38.1:23.7:4.1:0.5:6.2:84.3:0.5:0.0:4.4:52.3:20.4:77147.0:13001.25:13771.87
00070505:Public School:Amesbury:09,10,11,12:00070000:Level 2:Level 2:0:0:0:0:0:0:0:0:0:147:138:145:163:1:594:2.9:0.5:17.0:25.9:14.6:1.3:1.2:4.2:90.7:0.0:0.0:2.5:53.5:16.7:77147.0:13001.25:13771.87
00070515:Public School:Amesbury:09,10,11,12:00070000:Insufficient data:Level 2:0:0:0:0:0:0:0:0:0:7:2:11:11:0:31:0.0:0.0:51.6:83.9:74.2:0.0:0.0:6.5:87.1:0.0:0.0:6.5:64.5:7.6:77147.0:13001.25:13771.87
00070013:Public School:Amesbury:05,06,07,08:00070000:Level 2:Level 2:0:0:0:0:0:173:158:178:170:0:0:0:0:0:679:3.1:1.6:17.7:34.0:22.4:1.2:1.0:6.6:86.9:0.3:0.1:3.8:51.1:18.4:77147.0:13001.25:13771.87
00070010:Public School:Amesbury:PK,K,01,02,03,04:00070000:Level 2:Level 2:25:86:89:93:94:0:0:0:0:0:0:0:0:0:458:4.8:3.9:24.0:44.5:27.9:2.2:2.0:8.7:84.1:0.4:0.2:2.4:53.5:22.1:77147.0:13001.25:13771.87
