"Label","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1979 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Abington CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,538","6,236","302","1.2","5.4","","6,538","3,702","428","402","768","465","526","247","0","0","","6,538","0","170","806","595","499","632","599","840","324","2,073","","6,538","61","168","765","979","1,231","1,219","738","727","650","5.6","","6,538","61","843","2,189","2,287","954","204","","6,236","4,225","2,011","2.80","2.16","","6,236","508","1,897","1,614","1,206","367","644","","6,236","195","2,203","2,720","1,118","","6,236","2,905","85","822","2,273","0","48","24","70","9","","6,236","28","28","54","","6,236","6,126","94","16","","4,225","108","17","87","189","1,421","2,087","287","29","319,200","","4,225","3,133","1,092","","3,133","6","234","274","896","908","483","332","2,086","1,092","0","47","147","299","379","220","823","","3,133","1,114","478","559","263","719","0","1,057","403","214","114","82","47","56","141","35","","1,989","178","477","848","332","154","0","0","1,169","22","","1,980","240","462","193","322","108","655","31"
"    Percent","","6,538","95.4%","4.6%","(X)","(X)","","6,538","56.6%","6.5%","6.1%","11.7%","7.1%","8.0%","3.8%","0.0%","0.0%","","6,538","0.0%","2.6%","12.3%","9.1%","7.6%","9.7%","9.2%","12.8%","5.0%","31.7%","","6,538","0.9%","2.6%","11.7%","15.0%","18.8%","18.6%","11.3%","11.1%","9.9%","(X)","","6,538","0.9%","12.9%","33.5%","35.0%","14.6%","3.1%","","6,236","67.8%","32.2%","(X)","(X)","","6,236","8.1%","30.4%","25.9%","19.3%","5.9%","10.3%","","6,236","3.1%","35.3%","43.6%","17.9%","","6,236","46.6%","1.4%","13.2%","36.4%","0.0%","0.8%","0.4%","1.1%","0.1%","","6,236","0.4%","0.4%","0.9%","","6,236","98.2%","1.5%","0.3%","","4,225","2.6%","0.4%","2.1%","4.5%","33.6%","49.4%","6.8%","0.7%","(X)","","4,225","74.2%","25.8%","","3,133","0.2%","7.5%","8.7%","28.6%","29.0%","15.4%","10.6%","(X)","1,092","0.0%","4.3%","13.5%","27.4%","34.7%","20.1%","(X)","","3,133","35.6%","15.3%","17.8%","8.4%","22.9%","(X)","1,057","38.1%","20.2%","10.8%","7.8%","4.4%","5.3%","13.3%","(X)","","1,989","8.9%","24.0%","42.6%","16.7%","7.7%","0.0%","0.0%","(X)","(X)","","1,980","12.1%","23.3%","9.7%","16.3%","5.5%","33.1%","(X)"
"Acushnet Center CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,260","1,223","37","2.9","0.0","","1,260","947","38","71","124","49","8","13","10","0","","1,260","0","0","29","87","27","73","193","245","90","516","","1,260","47","32","47","189","376","210","179","151","29","5.3","","1,260","47","129","281","527","266","10","","1,223","891","332","2.60","1.74","","1,223","43","263","421","186","65","245","","1,223","100","526","358","239","","1,223","852","20","14","308","0","0","8","8","13","","1,223","0","0","18","","1,223","1,164","46","13","","891","34","0","83","149","474","151","0","0","232,300","","891","623","268","","623","0","79","220","237","87","0","0","1,521","268","9","39","87","100","33","0","598","","623","279","111","120","17","96","0","268","70","26","32","44","25","13","58","0","","293","40","174","79","0","0","0","0","756","39","","293","13","36","13","52","87","92","39"
"    Percent","","1,260","97.1%","2.9%","(X)","(X)","","1,260","75.2%","3.0%","5.6%","9.8%","3.9%","0.6%","1.0%","0.8%","0.0%","","1,260","0.0%","0.0%","2.3%","6.9%","2.1%","5.8%","15.3%","19.4%","7.1%","41.0%","","1,260","3.7%","2.5%","3.7%","15.0%","29.8%","16.7%","14.2%","12.0%","2.3%","(X)","","1,260","3.7%","10.2%","22.3%","41.8%","21.1%","0.8%","","1,223","72.9%","27.1%","(X)","(X)","","1,223","3.5%","21.5%","34.4%","15.2%","5.3%","20.0%","","1,223","8.2%","43.0%","29.3%","19.5%","","1,223","69.7%","1.6%","1.1%","25.2%","0.0%","0.0%","0.7%","0.7%","1.1%","","1,223","0.0%","0.0%","1.5%","","1,223","95.2%","3.8%","1.1%","","891","3.8%","0.0%","9.3%","16.7%","53.2%","16.9%","0.0%","0.0%","(X)","","891","69.9%","30.1%","","623","0.0%","12.7%","35.3%","38.0%","14.0%","0.0%","0.0%","(X)","268","3.4%","14.6%","32.5%","37.3%","12.3%","0.0%","(X)","","623","44.8%","17.8%","19.3%","2.7%","15.4%","(X)","268","26.1%","9.7%","11.9%","16.4%","9.3%","4.9%","21.6%","(X)","","293","13.7%","59.4%","27.0%","0.0%","0.0%","0.0%","0.0%","(X)","(X)","","293","4.4%","12.3%","4.4%","17.7%","29.7%","31.4%","(X)"
"Adams CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,017","2,648","369","4.7","4.2","","3,017","1,467","88","577","238","276","96","268","7","0","","3,017","0","0","43","49","84","136","152","544","269","1,740","","3,017","0","10","354","576","724","542","392","197","222","5.3","","3,017","0","479","1,102","1,058","320","58","","2,648","1,589","1,059","2.33","1.70","","2,648","221","690","827","367","200","343","","2,648","236","1,227","861","324","","2,648","1,359","69","246","883","6","35","0","50","0","","2,648","0","7","43","","2,648","2,648","0","0","","1,589","45","171","579","463","140","161","30","0","150,000","","1,589","1,109","480","","1,109","19","290","474","211","71","44","0","1,246","480","6","115","162","94","18","85","555","","1,109","533","120","79","85","292","0","470","127","117","66","65","53","22","20","10","","1,009","206","630","108","46","19","0","0","697","50","","1,009","170","141","125","44","163","366","50"
"    Percent","","3,017","87.8%","12.2%","(X)","(X)","","3,017","48.6%","2.9%","19.1%","7.9%","9.1%","3.2%","8.9%","0.2%","0.0%","","3,017","0.0%","0.0%","1.4%","1.6%","2.8%","4.5%","5.0%","18.0%","8.9%","57.7%","","3,017","0.0%","0.3%","11.7%","19.1%","24.0%","18.0%","13.0%","6.5%","7.4%","(X)","","3,017","0.0%","15.9%","36.5%","35.1%","10.6%","1.9%","","2,648","60.0%","40.0%","(X)","(X)","","2,648","8.3%","26.1%","31.2%","13.9%","7.6%","13.0%","","2,648","8.9%","46.3%","32.5%","12.2%","","2,648","51.3%","2.6%","9.3%","33.3%","0.2%","1.3%","0.0%","1.9%","0.0%","","2,648","0.0%","0.3%","1.6%","","2,648","100.0%","0.0%","0.0%","","1,589","2.8%","10.8%","36.4%","29.1%","8.8%","10.1%","1.9%","0.0%","(X)","","1,589","69.8%","30.2%","","1,109","1.7%","26.1%","42.7%","19.0%","6.4%","4.0%","0.0%","(X)","480","1.3%","24.0%","33.8%","19.6%","3.8%","17.7%","(X)","","1,109","48.1%","10.8%","7.1%","7.7%","26.3%","(X)","470","27.0%","24.9%","14.0%","13.8%","11.3%","4.7%","4.3%","(X)","","1,009","20.4%","62.4%","10.7%","4.6%","1.9%","0.0%","0.0%","(X)","(X)","","1,009","16.8%","14.0%","12.4%","4.4%","16.2%","36.3%","(X)"
"Agawam Town city, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","12,183","11,750","433","0.0","3.6","","12,183","7,925","682","594","392","1,106","517","893","74","0","","12,183","14","133","479","980","1,832","2,842","1,519","2,013","842","1,529","","12,183","471","272","766","1,995","2,294","2,854","1,519","1,169","843","5.6","","12,183","506","978","3,781","4,648","1,816","454","","11,750","8,854","2,896","2.57","1.86","","11,750","850","2,575","3,206","2,073","1,301","1,745","","11,750","929","4,007","4,552","2,262","","11,750","6,693","128","2,290","2,254","0","169","10","162","44","","11,750","25","341","347","","11,750","11,588","32","130","","8,854","254","106","759","2,182","3,819","1,579","116","39","223,300","","8,854","5,970","2,884","","5,970","84","527","2,150","2,064","721","273","151","1,557","2,884","30","193","1,170","978","343","170","608","","5,970","2,585","882","720","436","1,347","0","2,863","975","625","325","175","229","167","367","21","","2,764","375","1,082","892","176","85","0","154","974","132","","2,760","403","306","444","197","250","1,160","136"
"    Percent","","12,183","96.4%","3.6%","(X)","(X)","","12,183","65.0%","5.6%","4.9%","3.2%","9.1%","4.2%","7.3%","0.6%","0.0%","","12,183","0.1%","1.1%","3.9%","8.0%","15.0%","23.3%","12.5%","16.5%","6.9%","12.6%","","12,183","3.9%","2.2%","6.3%","16.4%","18.8%","23.4%","12.5%","9.6%","6.9%","(X)","","12,183","4.2%","8.0%","31.0%","38.2%","14.9%","3.7%","","11,750","75.4%","24.6%","(X)","(X)","","11,750","7.2%","21.9%","27.3%","17.6%","11.1%","14.9%","","11,750","7.9%","34.1%","38.7%","19.3%","","11,750","57.0%","1.1%","19.5%","19.2%","0.0%","1.4%","0.1%","1.4%","0.4%","","11,750","0.2%","2.9%","3.0%","","11,750","98.6%","0.3%","1.1%","","8,854","2.9%","1.2%","8.6%","24.6%","43.1%","17.8%","1.3%","0.4%","(X)","","8,854","67.4%","32.6%","","5,970","1.4%","8.8%","36.0%","34.6%","12.1%","4.6%","2.5%","(X)","2,884","1.0%","6.7%","40.6%","33.9%","11.9%","5.9%","(X)","","5,970","43.3%","14.8%","12.1%","7.3%","22.6%","(X)","2,863","34.1%","21.8%","11.4%","6.1%","8.0%","5.8%","12.8%","(X)","","2,764","13.6%","39.1%","32.3%","6.4%","3.1%","0.0%","5.6%","(X)","(X)","","2,760","14.6%","11.1%","16.1%","7.1%","9.1%","42.0%","(X)"
"Amesbury Town city, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,444","7,025","419","1.5","5.1","","7,444","3,715","795","709","539","254","393","1,039","0","0","","7,444","0","78","666","868","634","1,375","658","368","182","2,615","","7,444","146","195","708","1,358","1,218","1,375","977","749","718","5.6","","7,444","146","859","2,494","2,941","843","161","","7,025","4,921","2,104","2.58","1.99","","7,025","561","2,223","1,982","1,292","458","509","","7,025","394","2,447","3,291","893","","7,025","3,996","232","1,023","1,570","0","112","12","61","19","","7,025","12","73","94","","7,025","6,940","85","0","","4,921","147","73","283","329","1,362","2,271","448","8","316,500","","4,921","3,748","1,173","","3,748","9","47","561","885","1,085","694","467","2,171","1,173","0","60","129","347","274","363","832","","3,748","1,288","625","492","399","944","0","1,126","258","257","220","156","77","14","144","47","","2,080","194","536","901","323","91","26","9","1,113","24","","2,064","118","317","335","334","252","708","40"
