"Label","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Abington CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","16,275","7,557","8,718","86.7","902","891","932","862","1,311","2,119","2,108","2,424","1,349","1,210","1,441","514","212","40.5","3,203","13,441","13,072","12,415","2,851","2,167","13,072","6,140","6,932","88.6","2,167","924","1,243","74.3","","16,275","15,951","324","15,951","14,959","446","0","0","0","0","0","386","229","100","36","0","21","0","0","0","0","0","0","0","160","324","123","46","121","0","","16,275","15,257","569","46","533","0","194","","16,275","381","20","83","35","243","15,894","14,630","436","0","386","0","118","324","34","290","6,538","","12,453","5,736","6,717"
"    Percent","","16,275","46.4%","53.6%","(X)","5.5%","5.5%","5.7%","5.3%","8.1%","13.0%","13.0%","14.9%","8.3%","7.4%","8.9%","3.2%","1.3%","(X)","19.7%","82.6%","80.3%","76.3%","17.5%","13.3%","13,072","47.0%","53.0%","(X)","2,167","42.6%","57.4%","(X)","","16,275","98.0%","2.0%","98.0%","91.9%","2.7%","0.0%","0.0%","0.0%","0.0%","0.0%","2.4%","1.4%","0.6%","0.2%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","2.0%","0.8%","0.3%","0.7%","0.0%","","16,275","93.7%","3.5%","0.3%","3.3%","0.0%","1.2%","","16,275","2.3%","0.1%","0.5%","0.2%","1.5%","97.7%","89.9%","2.7%","0.0%","2.4%","0.0%","0.7%","2.0%","0.2%","1.8%","(X)","","12,453","46.1%","53.9%"
"Acushnet Center CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,904","1,382","1,522","90.8","115","145","184","179","170","303","339","479","217","208","200","246","119","45.2","530","2,453","2,374","2,281","671","565","2,374","1,050","1,324","79.3","565","208","357","58.3","","2,904","2,736","168","2,736","2,666","2","0","0","0","0","0","30","0","0","9","0","0","0","21","0","0","0","0","0","38","168","22","39","18","0","","2,904","2,834","83","98","48","0","68","","2,904","172","20","131","13","8","2,732","2,494","2","0","30","0","38","168","30","138","1,260","","2,374","1,050","1,324"
"    Percent","","2,904","47.6%","52.4%","(X)","4.0%","5.0%","6.3%","6.2%","5.9%","10.4%","11.7%","16.5%","7.5%","7.2%","6.9%","8.5%","4.1%","(X)","18.3%","84.5%","81.7%","78.5%","23.1%","19.5%","2,374","44.2%","55.8%","(X)","565","36.8%","63.2%","(X)","","2,904","94.2%","5.8%","94.2%","91.8%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","0.0%","0.0%","0.3%","0.0%","0.0%","0.0%","0.7%","0.0%","0.0%","0.0%","0.0%","0.0%","1.3%","5.8%","0.8%","1.3%","0.6%","0.0%","","2,904","97.6%","2.9%","3.4%","1.7%","0.0%","2.3%","","2,904","5.9%","0.7%","4.5%","0.4%","0.3%","94.1%","85.9%","0.1%","0.0%","1.0%","0.0%","1.3%","5.8%","1.0%","4.8%","(X)","","2,374","44.2%","55.8%"
"Adams CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,511","2,796","2,715","103.0","233","176","319","334","358","707","576","927","449","475","559","279","119","46.0","1,011","4,666","4,500","4,381","1,204","957","4,500","2,217","2,283","97.1","957","451","506","89.1","","5,511","5,456","55","5,456","5,348","64","0","0","0","0","0","12","0","0","0","12","0","0","0","0","0","0","0","0","32","55","13","21","21","0","","5,511","5,403","77","21","33","0","32","","5,511","57","16","31","0","10","5,454","5,303","64","0","12","0","20","55","0","55","3,017","","4,387","2,188","2,199"
"    Percent","","5,511","50.7%","49.3%","(X)","4.2%","3.2%","5.8%","6.1%","6.5%","12.8%","10.5%","16.8%","8.1%","8.6%","10.1%","5.1%","2.2%","(X)","18.3%","84.7%","81.7%","79.5%","21.8%","17.4%","4,500","49.3%","50.7%","(X)","957","47.1%","52.9%","(X)","","5,511","99.0%","1.0%","99.0%","97.0%","1.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.2%","0.0%","0.0%","0.0%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.6%","1.0%","0.2%","0.4%","0.4%","0.0%","","5,511","98.0%","1.4%","0.4%","0.6%","0.0%","0.6%","","5,511","1.0%","0.3%","0.6%","0.0%","0.2%","99.0%","96.2%","1.2%","0.0%","0.2%","0.0%","0.4%","1.0%","0.0%","1.0%","(X)","","4,387","49.9%","50.1%"
"Agawam Town city, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","28,748","13,748","15,000","91.7","1,397","1,445","1,585","1,668","1,290","3,204","3,548","4,406","2,395","1,919","3,193","1,651","1,047","45.7","5,669","23,873","23,079","22,405","7,020","5,891","23,079","10,619","12,460","85.2","5,891","2,459","3,432","71.6","","28,748","28,371","377","28,371","27,036","349","17","0","0","0","0","756","381","97","23","21","119","41","74","34","34","0","0","0","179","377","69","43","165","11","","28,748","27,375","429","98","921","61","241","","28,748","1,987","105","1,644","30","208","26,761","25,401","349","7","678","34","0","292","0","292","12,183","","22,571","10,421","12,150"
"    Percent","","28,748","47.8%","52.2%","(X)","4.9%","5.0%","5.5%","5.8%","4.5%","11.1%","12.3%","15.3%","8.3%","6.7%","11.1%","5.7%","3.6%","(X)","19.7%","83.0%","80.3%","77.9%","24.4%","20.5%","23,079","46.0%","54.0%","(X)","5,891","41.7%","58.3%","(X)","","28,748","98.7%","1.3%","98.7%","94.0%","1.2%","0.1%","0.0%","0.0%","0.0%","0.0%","2.6%","1.3%","0.3%","0.1%","0.1%","0.4%","0.1%","0.3%","0.1%","0.1%","0.0%","0.0%","0.0%","0.6%","1.3%","0.2%","0.1%","0.6%","0.0%","","28,748","95.2%","1.5%","0.3%","3.2%","0.2%","0.8%","","28,748","6.9%","0.4%","5.7%","0.1%","0.7%","93.1%","88.4%","1.2%","0.0%","2.4%","0.1%","0.0%","1.0%","0.0%","1.0%","(X)","","22,571","46.2%","53.8%"
"Amesbury Town city, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","17,218","8,519","8,699","97.9","846","864","1,119","1,176","921","1,769","2,392","3,001","1,455","1,063","1,529","710","373","43.5","3,642","14,112","13,576","13,022","3,201","2,612","13,576","6,462","7,114","90.8","2,612","1,039","1,573","66.1","","17,218","16,792","426","16,792","16,407","134","29","0","0","0","0","187","18","95","11","15","29","0","19","0","0","0","0","0","35","426","295","22","73","0","","17,218","16,833","451","66","287","0","49","","17,218","467","32","216","0","219","16,751","15,977","134","0","187","0","27","426","0","426","7,444","","13,369","6,325","7,044"
"    Percent","","17,218","49.5%","50.5%","(X)","4.9%","5.0%","6.5%","6.8%","5.3%","10.3%","13.9%","17.4%","8.5%","6.2%","8.9%","4.1%","2.2%","(X)","21.2%","82.0%","78.8%","75.6%","18.6%","15.2%","13,576","47.6%","52.4%","(X)","2,612","39.8%","60.2%","(X)","","17,218","97.5%","2.5%","97.5%","95.3%","0.8%","0.2%","0.0%","0.0%","0.0%","0.0%","1.1%","0.1%","0.6%","0.1%","0.1%","0.2%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.2%","2.5%","1.7%","0.1%","0.4%","0.0%","","17,218","97.8%","2.6%","0.4%","1.7%","0.0%","0.3%","","17,218","2.7%","0.2%","1.3%","0.0%","1.3%","97.3%","92.8%","0.8%","0.0%","1.1%","0.0%","0.2%","2.5%","0.0%","2.5%","(X)","","13,369","47.3%","52.7%"
"Amherst Center CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","20,084","9,648","10,436","92.4","162","182","235","7,876","7,950","963","402","616","309","281","523","356","229","20.5","796","19,464","19,288","8,279","1,217","1,108","19,288","9,237","10,051","91.9","1,108","488","620","78.7","","20,084","19,403","681","19,403","15,437","1,034","88","12","0","0","0","2,582","384","1,296","70","83","271","202","276","31","16","0","0","15","231","681","196","16","259","13","","20,084","15,988","1,262","136","2,920","128","350","","20,084","1,189","158","327","72","632","18,895","14,586","960","75","2,582","31","79","582","46","536","3,413","","17,745","8,472","9,273"
"    Percent","","20,084","48.0%","52.0%","(X)","0.8%","0.9%","1.2%","39.2%","39.6%","4.8%","2.0%","3.1%","1.5%","1.4%","2.6%","1.8%","1.1%","(X)","4.0%","96.9%","96.0%","41.2%","6.1%","5.5%","19,288","47.9%","52.1%","(X)","1,108","44.0%","56.0%","(X)","","20,084","96.6%","3.4%","96.6%","76.9%","5.1%","0.4%","0.1%","0.0%","0.0%","0.0%","12.9%","1.9%","6.5%","0.3%","0.4%","1.3%","1.0%","1.4%","0.2%","0.1%","0.0%","0.0%","0.1%","1.2%","3.4%","1.0%","0.1%","1.3%","0.1%","","20,084","79.6%","6.3%","0.7%","14.5%","0.6%","1.7%","","20,084","5.9%","0.8%","1.6%","0.4%","3.1%","94.1%","72.6%","4.8%","0.4%","12.9%","0.2%","0.4%","2.9%","0.2%","2.7%","(X)","","17,745","47.7%","52.3%"
"Andover CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,788","3,966","4,822","82.2","375","410","519","808","945","684","1,061","1,339","462","514","951","468","252","41.1","1,561","7,409","7,227","6,377","1,960","1,671","7,227","3,395","3,832","88.6","1,671","647","1,024","63.2","","8,788","8,558","230","8,558","7,528","341","19","0","0","0","0","499","48","387","20","0","16","12","16","0","0","0","0","0","171","230","24","40","142","0","","8,788","7,750","365","59","649","16","179","","8,788","371","90","85","13","183","8,417","7,332","341","19","488","0","7","230","8","222","3,632","","6,859","3,162","3,697"
"    Percent","","8,788","45.1%","54.9%","(X)","4.3%","4.7%","5.9%","9.2%","10.8%","7.8%","12.1%","15.2%","5.3%","5.8%","10.8%","5.3%","2.9%","(X)","17.8%","84.3%","82.2%","72.6%","22.3%","19.0%","7,227","47.0%","53.0%","(X)","1,671","38.7%","61.3%","(X)","","8,788","97.4%","2.6%","97.4%","85.7%","3.9%","0.2%","0.0%","0.0%","0.0%","0.0%","5.7%","0.5%","4.4%","0.2%","0.0%","0.2%","0.1%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.9%","2.6%","0.3%","0.5%","1.6%","0.0%","","8,788","88.2%","4.2%","0.7%","7.4%","0.2%","2.0%","","8,788","4.2%","1.0%","1.0%","0.1%","2.1%","95.8%","83.4%","3.9%","0.2%","5.6%","0.0%","0.1%","2.6%","0.1%","2.5%","(X)","","6,859","46.1%","53.9%"
"Arlington CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","44,992","21,209","23,783","89.2","3,143","2,817","2,130","2,169","1,534","6,324","6,764","7,103","2,834","2,807","3,788","2,210","1,369","41.4","9,665","36,347","35,327","34,514","8,869","7,367","35,327","16,008","19,319","82.9","7,367","2,854","4,513","63.2","","44,992","43,349","1,643","43,349","36,748","851","120","0","0","0","0","5,195","1,157","1,765","394","284","748","150","697","0","0","0","0","0","435","1,643","266","75","1,141","21","","44,992","38,334","1,161","262","6,381","9","520","","44,992","1,941","168","242","137","1,394","43,051","35,275","838","120","5,183","0","83","1,552","76","1,476","19,615","","31,559","14,182","17,377"
"    Percent","","44,992","47.1%","52.9%","(X)","7.0%","6.3%","4.7%","4.8%","3.4%","14.1%","15.0%","15.8%","6.3%","6.2%","8.4%","4.9%","3.0%","(X)","21.5%","80.8%","78.5%","76.7%","19.7%","16.4%","35,327","45.3%","54.7%","(X)","7,367","38.7%","61.3%","(X)","","44,992","96.3%","3.7%","96.3%","81.7%","1.9%","0.3%","0.0%","0.0%","0.0%","0.0%","11.5%","2.6%","3.9%","0.9%","0.6%","1.7%","0.3%","1.5%","0.0%","0.0%","0.0%","0.0%","0.0%","1.0%","3.7%","0.6%","0.2%","2.5%","0.0%","","44,992","85.2%","2.6%","0.6%","14.2%","0.0%","1.2%","","44,992","4.3%","0.4%","0.5%","0.3%","3.1%","95.7%","78.4%","1.9%","0.3%","11.5%","0.0%","0.2%","3.4%","0.2%","3.3%","(X)","","31,559","44.9%","55.1%"
"Athol CDP, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
