,,R2_score,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE)
OP1,DT_baseline,0.511925430161623,10.5469387755102,258.262448979591,16.0705460075129
,DT_tuned,0.561272299249099,10.384197690065,232.150776609062,15.2364948924961
,RF_baseline,0.638259737882335,9.63016326530612,191.413221999999,13.8352167312261
,RF_tuned,0.653849022925883,9.61896148317388,183.164222396269,13.5338177317514
OP2,DT_baseline,0.429254335436776,9.096875,155.3803125,12.4651639580071
,DT_tuned,0.680251148754426,7.59953379953379,87.0487145374536,9.32999006095149
,RF_baseline,0.682614887004803,7.29162499999999,86.4052083124998,9.29544018928097
,RF_tuned,0.702043219097229,7.17746093749999,81.1160217285156,9.00644334510108
OP3,DT_baseline,0.750798634301015,21.96875,779.78125,27.9245635597049
,DT_tuned,0.782650795929534,19.4739583333333,680.111979166666,26.078956634932
,RF_baseline,0.821737598541922,18.3490625,557.804640625,23.6178881491339
,RF_tuned,0.702043219097229,7.17746093749999,81.1160217285156,9.00644334510108
OP4,DT_baseline,0.413399025983784,37.3235294117647,2346.79411764705,48.4437211374916
,DT_tuned,0.654627398445575,30.9722222222222,1381.72015667668,37.1714965622409
,RF_baseline,0.779239850552535,22.7876470588235,883.187452941176,29.7184698956924
,RF_tuned,0.792213093896056,22.2318492667562,831.285849442411,28.8320281881523
OP5,DT_baseline,0.654045686424155,30.1714285714285,1279.6,35.7714970332526
,DT_tuned,0.681300676207282,27.8048128313579,1178.79048973256,34.3335184583893
,RF_baseline,0.79391934581836,21.712,762.241702857143,27.6087251219092
,RF_tuned,0.781623192827855,22.3888571428571,807.722151428571,28.4204530475601
OP6,DT_baseline,-0.118759046535116,16.725,529.955625,23.020765082855
,DT_tuned,0.391512192901202,13.0168361131934,288.240383051776,16.9776436248313
,RF_baseline,0.516449434018891,12.29190625,229.05767171875,15.1346513576874
,RF_tuned,0.522094804570813,12.2316157996058,226.383462389702,15.04604474238
OP7,DT_baseline,0.049481578274579,4.82941176470588,34.7347058823529,5.89361568838289
,DT_tuned,0.298907340201123,3.68033963585434,25.619963567024,5.06161669499223
,RF_baseline,0.535786871100001,3.32476470588235,16.9636969999999,4.11870088741583
,RF_tuned,0.543959947854908,3.33319703216829,16.66502901972,4.08228232974154
OP8,DT_baseline,0.43329809680097,6.89666666666666,75.333,8.67945850845547
,DT_tuned,0.525121151573486,6.35782905982906,63.1267480955511,7.94523430085929
,RF_baseline,0.457072095583474,6.9042,72.1726671333333,8.49544978993657
,RF_tuned,0.493613326533551,6.60651515151516,67.3151564462811,8.20458143029132
OP9,DT_baseline,0.413369129738583,9.66923076923076,234.034615384615,15.2981899381794
,DT_tuned,0.571789543893955,9.31923076923076,170.833269230769,13.07032016558
,RF_baseline,0.637609418596648,9.71376923076922,144.574628846153,12.023919030256
,RF_tuned,0.671265650883046,8.64384615384615,131.14757654164,11.4519682387631
OP10,DT_baseline,0.232400756426609,5.56585365853658,78.100487804878,8.83744803689832
,DT_tuned,0.765058752535986,3.3376960370253,23.9044347503602,4.88921616932205
,RF_baseline,0.723675401606072,3.60056097560976,28.1150432439025,5.30236204383504
,RF_tuned,0.706449219859049,3.56573170731708,29.8677458536587,5.46513914311966
OP11,DT_baseline,-0.045611143609463,5.64583333333333,48.28625,6.94883083691062
,DT_tuned,0.679030069714689,3.09269550843593,14.8223690909971,3.84998299879326
,RF_baseline,0.728275542375761,2.86233333333333,12.5482165833333,3.54234619755514
,RF_tuned,0.734694442023278,2.7735294117647,12.2517922433679,3.5002560254027
OP12,DT_baseline,0.020931356161455,5.81666666666666,51.1611111111111,7.15269956807295
,DT_tuned,0.375055721328132,4.95475464259777,32.6563861283837,5.71457663597083
,RF_baseline,0.285263032453702,5.04983333333333,37.348492,6.11134126031266
,RF_tuned,0.335416279959517,4.92866161616161,34.7277402433425,5.89302471090547
OP13,DT_baseline,0.326098257559189,2.69999999999999,11.7784210526315,3.43197043294833
,DT_tuned,0.399107541912723,2.46842105263157,10.5023684210526,3.24073578390041
,RF_baseline,0.69889066175981,1.758,5.26277400000001,2.29407366926173
,RF_tuned,0.719159335055972,1.66081339712921,4.90851913875605,2.21551780375515
OP14,DT_baseline,0.725112879304938,2.07714285714285,8.17342857142858,2.8589208753354
,DT_tuned,0.793530961289124,1.79843310657596,6.1391015186445,2.47772103325707
,RF_baseline,0.882780338766951,1.32097142857142,3.48538165714284,1.86691768890405
,RF_tuned,0.89479808701479,1.22103469387753,3.12804877575956,1.76862906675186
