,OP1,,OP2,,OP3,,OP4,,OP5,,OP6,,OP7,,OP8,,OP9,,OP10,,OP11,,OP12,,OP13,,OP14,,count,avg
Feature,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,Tuned Decision Tree,Tuned Random Forest,,
Percent of Students with High Needs,0.652576897,0.366711093,0,0.064591627,0.534712788,0.458797864,0.52287265,0.384730148,0.549815994,0.344133505,0,0.139660138,0.076021647,0.082442421,0.030608633,0.016606245,0,0.048677183,0.765590785,0.398486254,0,0.011935823,0.032259737,0.0149118,0.838391024,0.336689993,0.190109941,0.243588315,24,0.037340217
Number of Students Enrolled in Grade 10,0.082037094,0.067582693,0.045776431,0.02923391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.020509274
Number of Students Enrolled in Grade 9,0.078945971,0,0,0.007829336,0.012996964,0,0.018650409,0.006014002,0,0,0,0,0,0,0,0,0,0,0,0.005315555,0,0,0,0,0,0,0,0,6,0.013157662
Percent of Students who are Economically Disadvantaged,0.069039116,0.092921578,0.160830059,0.09851073,0.107705399,0.082666042,0,0,0,0.276232317,0.874992886,0.461056158,0,0,0.585432127,0.585536764,0.522364616,0.443834966,0.018336628,0.322942632,0,0,0.4967065,0.470778452,0.026123261,0.16458928,0,0,19,0.003633638
Average Class Size,0.018240796,0.026926858,0.06906439,0.059029531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462673104,0.212758522,6,0.038499886
Percent of Population who is American Indian or Alaska Native ,0.018120498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.018120498
'Percent of Population over 25 whose highest level of education is a Bachelor''s Degree',0.010762311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010762311
Percent of Households that consist of a Male with no Wife Present and Children Aged Under 18,0.010742664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021382341,0,0,0,0,0,0,2,0.005371332
Percent of Population with an American Ancestry,0.008657462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008657462
Percent of Population who is Black or African American,0.008216373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008216373
Total Number of Students Enrolled,0,0.199364012,0,0.00677891,0,0.007072219,0,0,0,0,0,0,0,0,0,0.010375613,0,0.015262687,0,0,0,0,0,0,0,0.083070951,0,0,6,0
Number of Students Enrolled in Grade 12,0,0.067734327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007621988,0,0,0,0,0,0,0,0,2,0
Percent of Students who are White,0,0.009726315,0,0,0.101477585,0.129735272,0,0.043627135,0,0.014511263,0,0.014744347,0,0.017055406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Number of Students Enrolled in Grade 11,0,0.009293,0,0,0,0,0,0,0,0,0,0.010791034,0,0,0,0,0,0,0.025450907,0.012284739,0,0,0,0,0,0,0,0,4,0
Percent of Students who are Hispanic,0,0.008772858,0,0,0,0.027072949,0.10523136,0.052171448,0.227699237,0.084039604,0,0.010791034,0.05055569,0,0,0.01678453,0,0,0,0,0,0,0,0,0,0,0,0,9,0
