Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students who are Economically Disadvantaged,0.912489133610287,0.67976603459389
Percent of Foreign Born Population born in Europe,0.087510866389713,0.061790655306938
Percent of Students with Disabilities,0,0.041469107601265
Percent of Housing Units with an Occupant per Room Ratio above 1.51,0,0.02608258419267
Percent of Households that consist of a Male with no Wife Present and Children Aged Under 18,0,0.021382340681715
Total Population,0,0.017826333258931
School Accountability and Assistance Level,0,0.012906309490828
Percent of Students with High Needs,0,0.0119358227508
Percent of Families with an Income between $100000 and $149999,0,0.011691736221024
Percent of Renters with a Gross Rent between 15% and 19.9%  percent of Household Income,0,0.011475903716157
