Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students who are Economically Disadvantaged,0.585432126896876,0.585536764239581
School Accountability and Assistance Level,0.067781054013644,0.040503879600826
Percent of Students who are African American,0.098603981623933,0.020488697211683
Percent of Students who are Hispanic,0,0.016784530062287
Percent of Students with High Needs,0.030608633394025,0.016606244892414
Percent of Students with Disabilities,0,0.016084509250956
Percent of Population Aged between 35 and 44 years,0.038026440658726,0.015080327496008
Percent of Student whose First Language is Not English,0,0.011214062626395
Total Number of Students Enrolled,0,0.010375612720278
Number of Students Enrolled in Grade 2,0.039220698709591,0
Percent of Employed Civilians in Arts Entertainment and Recreation or Accomodation and Food Services Industry,0.033684119424959,0
Percent of Population that is Foreign Born,0.012634815628427,0
Percent of Population Aged between 5 and 9 years,0.011298957379719,0
