Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students with High Needs,0.549815993505569,0.344133504920718
Percent of Students who are Hispanic,0.227699237019814,0.08403960445293
Percent of Students who are Asian,0.164067735110457,0.060796552382692
Percent of Foreign Born Population born in Europe,0.05841703436416,0
Percent of Students who are Economically Disadvantaged,0,0.276232316893048
Percent of Students who are White,0,0.014511262765878
Percent of Multi-Racial Non-Hispanic Students,0,0.008874744977337
Percent of Students with Disabilities,0,0.008854429077448
Percent of Population over 25 whose highest level of education is an Associates Degree,0,0.008386105517392
Percent of students who are Male,0,0.006706729984137
Average Salary,0,0.005746400179642
