Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students with High Needs,0.534712788062785,0.458797864182445
Percent of Students who are Economically Disadvantaged,0.107705399111871,0.082666042110125
Percent of Students who are White,0.101477584699962,0.129735272293587
Percent of Population over 25 whose highest level of education is an Associates Degree',0.034438785472908,0.005862735526071
Percent of Females over 16 that are Married,0.028498502928693,0
Percent of Students who are Native Hawaiian or Pacific Islander,0.02077516335803,0
Percent of Females over 16 that are have Never Married,0.014124608974605,0
Percent of Multi-Racial Non-Hispanic Students,0.01395716939156,0.019867327079098
Number of Students Enrolled in Grade 9,0.012996964411529,0
Percent of Population with German Ancestry,0.012953777030563,0
Percent of Students who are Asian,0,0.067876845756597
Percent of Students who are Hispanic,0,0.027072948893439
Percent of students who are Male,0.008818887201603,0
Total Number of Students Enrolled,0,0.007072219234492
Percent of Males over 16 that are Divorced,0,0.005116617366882
