Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students with High Needs,0.652576897162905,0.366711092620238
Number of Students Enrolled in Grade 10,0.082037094252145,0.067582693259364
Number of Students Enrolled in Grade 9,0.078945970811259,0
Percent of Students who are Economically Disadvantaged,0.069039115759512,0.092921578274544
Average Class Size,0.01824079620449,0.026926857528564
Percent of Population who is American Indian or Alaska Native ,0.018120497721923,0
Percent of Population over 25 whose highest level of education is a Bachelors Degree,0.010762311329804,0
Percent of Households that consist of a Male with no Wife Present and Children Aged Under 18,0.01074266405418,0
Percent of Population with an American Ancestry,0.008657461953862,0
Percent of Population who is Black or African American,0.008216372779936,0
Total Number of Students Enrolled,0,0.19936401201515
Number of Students Enrolled in Grade 12,0,0.067734326990991
Percent of Students who are White,0,0.00972631537777
Number of Students Enrolled in Grade 11,0,0.009292999765899
Percent of Students who are Hispanic,0,0.00877285846943
Percent of students who are Male,0,0.007830383248233
