Feature,Tuned Decision Tree,Tuned Random Forest
Percent of Students who are Economically Disadvantaged,0.874992885875956,0.461056157802186
Percent of Students with High Needs,0,0.139660138242227
Percent of Students who are Asian,0.125007114124044,0.053785723926215
Percent of Students who are Hispanic,0,0.016126313382293
Percent of Students who are White,0,0.014744347347399
Percent of Students with Disabilities,0,0.011272591411301
Number of Students Enrolled in Grade 11,0,0.010791034430563
Average Salary,0,0.010402963946848
Percent of Students who are African American,0,0.009203360230312
Percent of students who are Male,0,0.008574298390085
